ai,facility_name,county,action_description,achieved_date,addressinfo,city_state_zip,documents
119385,"CSX Transportation, Inc",Baltimore City,PC - Penalty Collected,2024-02-24T00:00:00.000,900 Chesapeake Ave,"Brooklyn,MD,21225",
439,"Curtis Bay Energy, LP",Baltimore City,PC - Penalty Collected,2022-02-25T00:00:00.000,3200 Hawkins Point Road,"Baltimore,MD,21226",
439,"Curtis Bay Energy, LP",Baltimore City,92 - State Civil Penalty Assessed,2022-01-21T00:00:00.000,3200 Hawkins Point Road,"Baltimore,MD,21226",
439,"Curtis Bay Energy, LP",Baltimore City,CR - State Civil Referral,2024-03-14T00:00:00.000,3200 Hawkins Point Road,"Baltimore,MD,21226",
16681,Gold Bond Building Products,Baltimore City,48 - State Administrative Consent Order Signed,2022-06-07T00:00:00.000,2301 S Newkirk St,"Highlandtown,MD,21224",
16681,Gold Bond Building Products,Baltimore City,PC - Penalty Collected,2022-07-06T00:00:00.000,2301 S Newkirk St,"Highlandtown,MD,21224",
64857,"MANN-PAK, Inc.",Baltimore,92 - State Civil Penalty Assessed,2024-04-30T00:00:00.000,"9601 Pulaski Park Dr, Ste 401","Middle River,MD,21220",
64857,"MANN-PAK, Inc.",Baltimore,PC - Penalty Collected,2024-05-29T00:00:00.000,"9601 Pulaski Park Dr, Ste 401","Middle River,MD,21220",
3511,"Mettiki Coal, LLC",Garrett,PC - Penalty Collected,2021-03-19T00:00:00.000,293 Table Rock Road,"Oakland,MD,21550",
3511,"Mettiki Coal, LLC",Garrett,92 - State Civil Penalty Assessed,2021-02-08T00:00:00.000,293 Table Rock Road,"Oakland,MD,21550",
3946,Constellation Power - Perryman Generating Station,Harford,PC - Penalty Collected,2021-05-04T00:00:00.000,900 Chelsea Rd,"Aberdeen,MD,21001",
3946,Constellation Power - Perryman Generating Station,Harford,48 - State Administrative Consent Order Signed,2021-04-12T00:00:00.000,900 Chelsea Rd,"Aberdeen,MD,21001",
2087,Perdue AgriBusiness LLC,Wicomico,PC - Penalty Collected,2022-09-16T00:00:00.000,6906 Zion Church Road,"Salisbury,MD,21804",
2087,Perdue AgriBusiness LLC,Wicomico,92 - State Civil Penalty Assessed,2022-08-17T00:00:00.000,6906 Zion Church Road,"Salisbury,MD,21804",
89765,"Bizerba Label Solutions, Inc",Harford,PC - Penalty Collected,2022-08-08T00:00:00.000,"1804 Fashion Ct, Stes 113-120","Joppa,MD,21085",
89765,"Bizerba Label Solutions, Inc",Harford,92 - State Civil Penalty Assessed,2022-06-03T00:00:00.000,"1804 Fashion Ct, Stes 113-120","Joppa,MD,21085",
2087,Perdue AgriBusiness LLC,Wicomico,46 - State Court Consent Decree Signed,2024-07-26T00:00:00.000,6906 Zion Church Road,"Salisbury,MD,21804",
2087,Perdue AgriBusiness LLC,Wicomico,CR - State Civil Referral,2023-05-25T00:00:00.000,6906 Zion Church Road,"Salisbury,MD,21804",
2102,W. R. Grace & Co. - Curtis Bay Works,Baltimore City,92 - State Civil Penalty Assessed,2024-07-30T00:00:00.000,5500 Chemical Rd,"Curtis Bay,MD,21226-1698",
2102,W. R. Grace & Co. - Curtis Bay Works,Baltimore City,PC - Penalty Collected,2024-08-27T00:00:00.000,5500 Chemical Rd,"Curtis Bay,MD,21226-1698",
1788,Naval Support Facility Indian Head,Charles,LV - Letter of Violation,2024-06-18T00:00:00.000,"3972 Ward Rd, Ste 101, Environmental Program Office","Indian Head,MD,20640-5157",
7713,Independent Can Company,Harford,92 - State Civil Penalty Assessed,2024-02-26T00:00:00.000,1300 Brass Mill Road,"Belcamp,MD,21017-0370",
7713,Independent Can Company,Harford,PC - Penalty Collected,2024-04-12T00:00:00.000,1300 Brass Mill Road,"Belcamp,MD,21017-0370",
93478,"Parkway Generation Operating, LLC - Keys Energy Center LLC",Prince George's,PC - Penalty Collected,2022-02-24T00:00:00.000,10322 N. Keys Road,"Brandywine,MD,20613-8200",
93478,"Parkway Generation Operating, LLC - Keys Energy Center LLC",Prince George's,48 - State Administrative Consent Order Signed,2022-01-19T00:00:00.000,10322 N. Keys Road,"Brandywine,MD,20613-8200",
6191,"Darling Ingredients, Inc. - Linkwood",Dorchester,46 - State Court Consent Decree Signed,2022-09-12T00:00:00.000,5420 Linkwood Road,"Linkwood,MD,21835",
6191,"Darling Ingredients, Inc. - Linkwood",Dorchester,PC - Penalty Collected,2023-01-23T00:00:00.000,5420 Linkwood Road,"Linkwood,MD,21835",
26688,"Lifoam Industries, LLC",Harford,PC - Penalty Collected,2021-04-19T00:00:00.000,121 Bata Boulevard,"Belcamp,MD,21017",
26688,"Lifoam Industries, LLC",Harford,92 - State Civil Penalty Assessed,2021-04-02T00:00:00.000,121 Bata Boulevard,"Belcamp,MD,21017",
8739,American Yeast Corporation,Baltimore,LV - Letter of Violation,2023-12-04T00:00:00.000,8215 Beachwood Rd,"Dundalk,MD,21222",
2087,Perdue AgriBusiness LLC,Wicomico,92 - State Civil Penalty Assessed,2021-05-18T00:00:00.000,6906 Zion Church Road,"Salisbury,MD,21804",
2087,Perdue AgriBusiness LLC,Wicomico,PC - Penalty Collected,2021-06-21T00:00:00.000,6906 Zion Church Road,"Salisbury,MD,21804",
2255,Amrize Hagerstown Cement Plant (Formerly Holcim Hagerstown Cement Plant),Washington,PC - Penalty Collected,2022-03-22T00:00:00.000,1260 Security Road,"Hagerstown,MD,21742",
2255,Amrize Hagerstown Cement Plant (Formerly Holcim Hagerstown Cement Plant),Washington,48 - State Administrative Consent Order Signed,2022-01-26T00:00:00.000,1260 Security Road,"Hagerstown,MD,21742",
2167,Heidelberg Materials US Cement LLC,Carroll,46 - State Court Consent Decree Signed,2020-11-18T00:00:00.000,675 Quaker Hill Road,"Union Bridge,MD,21791",
2167,Heidelberg Materials US Cement LLC,Carroll,PC - Penalty Collected,2020-11-30T00:00:00.000,675 Quaker Hill Road,"Union Bridge,MD,21791",
169381,"Chalk Point Power, LLC",Prince George's,PC - Penalty Collected,2024-07-05T00:00:00.000,25100 Chalk Point Road,"Aquasco,MD,20608",
169381,"Chalk Point Power, LLC",Prince George's,92 - State Civil Penalty Assessed,2024-05-21T00:00:00.000,25100 Chalk Point Road,"Aquasco,MD,20608",
143545,Horseshoe Casino Baltimore,Baltimore City,PC - Penalty Collected,2024-09-06T00:00:00.000,2105 Haines St (Central Utility Plant),"Baltimore,MD,21230",
143545,Horseshoe Casino Baltimore,Baltimore City,48 - State Administrative Consent Order Signed,2024-07-29T00:00:00.000,2105 Haines St (Central Utility Plant),"Baltimore,MD,21230",
439,"Curtis Bay Energy, LP",Baltimore City,CR - State Civil Referral,2024-04-22T00:00:00.000,3200 Hawkins Point Road,"Baltimore,MD,21226",
26688,"Lifoam Industries, LLC",Harford,PC - Penalty Collected,2022-08-08T00:00:00.000,121 Bata Boulevard,"Belcamp,MD,21017",
26688,"Lifoam Industries, LLC",Harford,92 - State Civil Penalty Assessed,2022-06-08T00:00:00.000,121 Bata Boulevard,"Belcamp,MD,21017",
